TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS,Season
1610612763,Vancouver Grizzlies,82,19,63,0.232,3966.0,101.1,109.3,-8.2,0.652,1.4,18.0,0.314,0.669,0.492,0.179,0.482,0.527,94.6,0.452,1,25,25,25,12,16,29,25,6,15,10,13,21,21,26,11,13,7,24,10,Vancouver Grizzlies,1997-98
1610612764,Washington Wizards,82,42,40,0.512,3961.0,102.2,101.6,0.6,0.617,1.64,17.6,0.312,0.695,0.497,0.148,0.476,0.513,94.46,0.507,1,16,16,16,20,14,14,17,14,6,12,15,11,19,2,17,21,8,15,10,Washington Wizards,1997-98
1610612737,Atlanta Hawks,50,31,19,0.62,2415.0,96.9,93.9,3.0,0.507,1.05,13.2,0.33,0.721,0.527,0.167,0.436,0.492,88.4,0.525,1,7,7,7,17,20,2,9,28,28,29,4,1,1,14,26,25,28,8,10,Atlanta Hawks,1998-99
1610612738,Boston Celtics,50,19,31,0.38,2430.0,97.6,99.7,-2.1,0.591,1.33,16.5,0.306,0.694,0.494,0.169,0.469,0.501,94.05,0.473,1,22,22,22,7,19,15,21,19,17,19,13,21,17,16,14,20,5,23,10,Boston Celtics,1998-99
1610612766,Charlotte Hornets,50,26,24,0.52,2430.0,100.0,99.2,0.8,0.664,1.39,17.8,0.244,0.695,0.479,0.171,0.485,0.537,92.12,0.511,1,16,16,16,5,13,13,15,4,10,5,29,18,27,20,6,6,11,15,10,Charlotte Hornets,1998-99
1610612741,Chicago Bulls,50,13,37,0.26,2414.0,89.8,100.1,-10.2,0.661,1.31,16.5,0.268,0.717,0.481,0.17,0.424,0.47,90.69,0.42,1,27,27,27,18,29,19,28,6,18,17,27,4,26,17,29,29,21,28,10,Chicago Bulls,1998-99
1610612739,Cleveland Cavaliers,50,22,28,0.44,2410.0,96.7,98.5,-1.9,0.7,1.39,18.1,0.251,0.69,0.473,0.176,0.464,0.52,89.07,0.493,1,20,20,20,19,23,11,20,2,11,4,28,24,29,22,16,12,26,17,10,Cleveland Cavaliers,1998-99
1610612742,Dallas Mavericks,50,19,31,0.38,2415.0,99.3,102.2,-2.9,0.527,1.33,14.9,0.298,0.691,0.493,0.15,0.459,0.502,91.57,0.474,1,22,22,22,16,15,25,23,27,16,25,19,23,19,4,19,19,15,22,10,Dallas Mavericks,1998-99
1610612743,Denver Nuggets,50,14,36,0.28,2405.0,100.2,106.8,-6.5,0.576,1.31,15.4,0.301,0.692,0.49,0.158,0.459,0.511,93.32,0.442,1,26,26,26,27,12,28,26,24,19,23,17,22,21,6,18,15,6,26,10,Denver Nuggets,1998-99
1610612765,Detroit Pistons,50,29,21,0.58,2410.0,101.2,97.9,3.3,0.608,1.28,16.6,0.305,0.72,0.512,0.177,0.48,0.528,88.7,0.515,1,10,10,10,26,11,9,8,13,23,15,15,2,8,24,10,8,27,12,10,Detroit Pistons,1998-99
1610612744,Golden State Warriors,50,21,29,0.42,2425.0,95.1,98.7,-3.6,0.599,1.35,16.0,0.352,0.704,0.524,0.165,0.434,0.471,91.47,0.466,1,21,21,21,8,28,12,24,16,14,22,1,8,3,12,27,28,16,25,10,Golden State Warriors,1998-99
1610612745,Houston Rockets,50,31,19,0.62,2415.0,102.5,100.1,2.4,0.603,1.3,17.1,0.278,0.699,0.503,0.177,0.506,0.545,91.31,0.523,1,7,7,7,13,5,18,11,14,20,8,25,14,12,23,1,1,19,9,10,Houston Rockets,1998-99
1610612754,Indiana Pacers,50,33,17,0.66,2420.0,105.6,101.0,4.6,0.581,1.55,16.6,0.287,0.699,0.497,0.145,0.486,0.537,89.08,0.526,1,4,4,4,10,1,22,5,23,3,16,21,13,16,2,5,5,25,7,10,Indiana Pacers,1998-99
1610612746,Los Angeles Clippers,50,9,41,0.18,2425.0,96.6,107.0,-10.4,0.479,1.03,13.3,0.306,0.669,0.477,0.17,0.454,0.497,92.17,0.402,1,28,28,28,8,24,29,29,29,29,28,12,29,28,18,21,23,10,29,10,Los Angeles Clippers,1998-99
1610612747,Los Angeles Lakers,50,31,19,0.62,2410.0,104.6,101.2,3.3,0.595,1.45,17.0,0.305,0.702,0.508,0.159,0.498,0.538,94.34,0.527,1,7,7,7,19,2,24,7,18,5,9,14,10,10,8,2,4,2,6,10,Los Angeles Lakers,1998-99
1610612748,Miami Heat,50,33,17,0.66,2405.0,102.0,96.0,6.0,0.631,1.37,17.3,0.273,0.71,0.507,0.171,0.494,0.54,87.2,0.56,1,4,4,4,27,7,8,4,9,13,7,26,6,11,19,3,3,29,3,10,Miami Heat,1998-99
1610612749,Milwaukee Bucks,50,28,22,0.56,2410.0,102.4,99.5,2.9,0.588,1.43,17.0,0.29,0.676,0.486,0.161,0.489,0.53,89.59,0.512,1,11,11,11,19,6,14,10,21,8,10,20,27,24,9,4,7,22,14,10,Milwaukee Bucks,1998-99
