TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,CFID,CFPARAMS,Season
1610612750,Minnesota Timberwolves,82,45,37,0.549,48.7,103.6,29.6,0.685,7.8,5.2,16.4,16.3,14.0,42.2,1,13,13,13,3,22,8,17,22,13,9,26,20,20,10,Minnesota Timberwolves,1997-98
1610612751,New Jersey Nets,82,43,39,0.524,48.5,103.3,26.1,0.664,9.5,3.8,16.0,15.2,13.6,44.8,1,14,14,14,7,21,28,24,4,26,7,20,16,26,10,New Jersey Nets,1997-98
1610612752,New York Knicks,82,43,39,0.524,48.4,97.1,29.7,0.74,7.7,3.4,15.3,12.1,9.3,32.5,1,14,14,14,12,4,7,1,23,29,3,1,1,1,10,New York Knicks,1997-98
1610612753,Orlando Magic,82,41,41,0.5,48.4,100.9,26.9,0.669,7.9,5.4,16.8,14.5,14.8,41.0,1,17,17,17,10,13,25,20,17,10,14,16,23,17,10,Orlando Magic,1997-98
1610612755,Philadelphia 76ers,82,31,51,0.378,48.2,102.7,28.0,0.673,8.9,6.0,18.5,14.7,14.6,38.0,1,22,22,22,26,19,20,19,9,5,22,17,21,10,10,Philadelphia 76ers,1997-98
1610612756,Phoenix Suns,82,56,26,0.683,48.7,98.8,29.9,0.7,9.2,5.2,16.3,14.5,11.8,39.8,1,6,6,6,1,7,5,9,6,11,8,15,6,13,10,Phoenix Suns,1997-98
1610612757,Portland Trail Blazers,82,46,36,0.561,48.4,99.5,30.8,0.714,7.1,5.7,17.5,12.3,13.4,36.2,1,12,12,12,12,8,2,3,28,7,18,2,15,5,10,Portland Trail Blazers,1997-98
1610612758,Sacramento Kings,82,27,55,0.329,48.1,103.8,28.1,0.666,7.3,5.1,17.5,15.1,15.7,44.4,1,23,23,23,27,23,19,23,27,14,17,18,25,25,10,Sacramento Kings,1997-98
1610612759,San Antonio Spurs,82,56,26,0.683,48.4,96.2,32.2,0.722,6.3,6.9,16.6,13.5,10.6,33.7,1,6,6,6,12,2,1,2,29,2,12,4,3,2,10,San Antonio Spurs,1997-98
1610612760,Seattle SuperSonics,82,61,21,0.744,48.2,100.4,27.1,0.661,9.8,4.6,15.5,15.4,13.0,38.9,1,3,3,3,24,10,24,26,3,19,5,23,10,12,10,Seattle SuperSonics,1997-98
1610612761,Toronto Raptors,82,16,66,0.195,48.6,107.7,26.2,0.629,9.4,8.1,19.3,18.0,22.5,48.4,1,28,28,28,4,26,27,29,5,1,28,29,29,29,10,Toronto Raptors,1997-98
1610612762,Utah Jazz,82,62,20,0.756,48.2,102.3,29.3,0.71,7.9,5.0,17.0,13.6,10.1,35.3,1,1,1,1,23,15,11,5,18,16,15,5,2,4,10,Utah Jazz,1997-98
1610612763,Vancouver Grizzlies,82,19,63,0.232,48.4,109.3,28.2,0.669,7.5,4.3,19.6,15.3,17.9,43.0,1,25,25,25,12,29,18,21,26,24,29,22,28,22,10,Vancouver Grizzlies,1997-98
1610612764,Washington Wizards,82,42,40,0.512,48.3,101.6,28.5,0.695,8.4,4.6,15.4,14.3,13.7,42.8,1,16,16,16,20,14,14,11,12,18,4,11,17,21,10,Washington Wizards,1997-98
1610612737,Atlanta Hawks,50,31,19,0.62,48.3,93.9,30.0,0.721,6.9,5.2,15.0,11.7,10.6,31.7,1,7,7,7,17,2,9,1,27,13,4,1,7,3,10,Atlanta Hawks,1998-99
